company,category,portal_type,url,total,angular,status,verdict,titles
GE HealthCare,main,generic,https://careers.gehealthcare.com/global/en/search-results?keywords=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Philips,main,generic,https://www.careers.philips.com/global/en/search-results?keywords=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Novartis,main,generic,https://www.novartis.com/careers/career-search?search_api_fulltext=Software,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
IQVIA,main,generic,https://jobs.iqvia.com/en/jobs/?search=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Baker Hughes,main,generic,https://careers.bakerhughes.com/global/en/search-results?keywords=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
SLB,main,generic,https://careers.slb.com/job-search?query=Software,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Microsoft,main,generic,https://jobs.careers.microsoft.com/global/en/search?q=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Intuit,main,generic,https://jobs.intuit.com/search-jobs?k=Software,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
SAP Labs,main,generic,https://jobs.sap.com/search/?q=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Adobe,main,generic,https://careers.adobe.com/us/en/search-results?keywords=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
Broadcom,main,workday,https://broadcom.wd1.myworkdayjobs.com/External_Career?q=Engineer,0,0,api_303,NO_ANGULAR,[]
Locus,main,freshteam,https://locus.freshteam.com/jobs,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
ACI Worldwide,main,oracle,https://ebwg.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions?keyword=Engineer,0,0,no_api_available,NEEDS_MANUAL_CHECK,[]
EisnerAmper,main,workday,https://eisneramper.wd1.myworkdayjobs.com/EisnerAmper_External?q=Engineer,0,0,api_303,NO_ANGULAR,[]
Celonis,main,greenhouse,https://job-boards.greenhouse.io/celonis/,192,2,ok,CONFIRMED_ANGULAR,"[""Engineering Manager - Orchestration and Automation"", ""Senior Software Engineer - Orchestration and Automation""]"
Creatio,main,lever,https://jobs.eu.lever.co/creatio/,0,0,api_error,NEEDS_MANUAL_CHECK,[]
RTX,main,workday,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway?q=Engineer,0,0,api_303,NO_ANGULAR,[]
